function_name,file_path,module,line_number,signature,doc_comment,doc_first_line,semantic_category
estimate_dbscan_eps,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,498,function(sorted_dists),NA,NA,undocumented
create_cluster_biplot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,44,NA,"#' Create a cluster biplot with convex-hull polygons
#'
#' Projects clustered data onto reduced dimensions (currently PCA)
#' and overlays convex-hull polygons per cluster. Points are colored
#' by user-selected metadata groups (via the PCA biplot), while
#' polygons are colored by cluster assignment.
#'
#' @param data Data frame (already cleaned and scaled)
#' @param measure_cols Character vector of measurement column names
#' @param clusters Integer vector of cluster assignments
#' @param meta_cols Character vector of metadata column names
#' @param dim_x Character, dimension for x-axis (e.g. ""Dim.1"")
#' @param dim_y Character, dimension for y-axis (e.g. ""Dim.2"")
#' @param group_cols Character vector of metadata columns for
#'   point coloring. NULL for no grouping.
#' @param reduction_method Character, dimensionality reduction
#'   method. Currently only ""pca"" is implemented.
#' @param show_title Logical, whether to show the plot title
#' @return List with $success, $result (ggplot), $pca_result,
#'   or $error
#' @export",Create a cluster biplot with convex-hull polygons,"plotting, export, transformation, filtering, error_handling, data_prep"
cluster_biplot_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,121,NA,"#' Error parser for cluster biplot errors
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Error parser for cluster biplot errors,"plotting, export, error_handling"
build_pca_biplot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,161,NA,#' Build the PCA-based biplot with cluster overlays,Build the PCA-based biplot with cluster overlays,plotting
build_raw_biplot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,208,NA,#' Build the raw-data scatter plot with cluster overlays,Build the raw-data scatter plot with cluster overlays,plotting
add_cluster_overlays,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,398,NA,#' Add cluster polygon overlays and centroid labels,Add cluster polygon overlays and centroid labels,other
build_group_hull_data,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,469,NA,"#' Build convex hull data for group coloring
#' (used in raw data mode)",Build convex hull data for group coloring,other
build_cluster_hull_data,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,506,NA,"#' Build convex hull data for each cluster
#'
#' @param ind_coord Matrix of individual coordinates
#'   from PCA result
#' @param clusters Integer vector of cluster assignments
#' @param dim_x Character, x dimension name
#' @param dim_y Character, y dimension name
#' @return Data frame with x, y, cluster_label columns
#'   or NULL if insufficient data",Build convex hull data for each cluster,other
build_cluster_centroids,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster_biplot.R,app/logic/cluster,553,NA,"#' Build cluster centroid positions for labels
#'
#' @param ind_coord Matrix of individual coordinates
#' @param clusters Integer vector of cluster assignments
#' @param dim_x Character, x dimension name
#' @param dim_y Character, y dimension name
#' @return Data frame with x, y, cluster_label columns",Build cluster centroid positions for labels,other
create_cluster_heatmap,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/heatmap.R,app/logic/cluster,47,NA,"#' Create an interactive cluster heatmap using heatmaply
#'
#' Builds a plotly-based heatmap with dendrograms on both
#' axes. Only works for hierarchical clustering results
#' (variant == ""hclust"").
#'
#' @param cluster_result Result list from run_clustering()
#'   (the $result field, not the wrapper)
#' @param data Data frame used for clustering (scaled)
#' @param measure_cols Character vector of measurement columns
#' @param show_labels Logical, show row labels
#' @param custom_labels Character vector of row labels
#'   matching the data row order. If NULL, row numbers used.
#' @param seriation Character, seriation method for leaf
#'   ordering. One of ""OLO"", ""GW"", ""mean"", ""none"".
#' @param row_side_colors_df Data frame of metadata columns
#'   to display as colored side bars. NULL for none.
#' @param scale_heatmap Character, scaling for heatmaply.
#'   One of ""none"", ""row"", ""column"".
#' @return List with $success, $result (plotly) or $error
#' @export",Create an interactive cluster heatmap using heatmaply,"computation, plotting, export, transformation, error_handling, formatting"
heatmap_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/heatmap.R,app/logic/cluster,214,NA,"#' Error parser for heatmap errors
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message",Error parser for heatmap errors,error_handling
compute_hopkins,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/hopkins.R,app/logic/cluster,33,"function(data, measurement_cols)","#' Compute Hopkins statistic for clusterability assessment
#'
#' Validates inputs and computes the Hopkins statistic using the
#' hopkins package. Data should already be cleaned (NAs removed)
#' and scaled as needed by the caller.
#'
#' Guidelines from the hopkins package author:
#' - n should be > 100 and m should be at most 10% of n
#' - High-dimensional data (>10 dims) may have edge effects
#' - Data should be centered and scaled to unit variance
#'
#' @param data Data frame containing the measurement columns
#'   (already cleaned and scaled)
#' @param measurement_cols Character vector of column names
#' @return List with $success, $result or $error.
#'   Result contains $H, $m, $n, $n_dims, $interpretation,
#'   and $warnings (list of warning metadata).
#' @export",Compute Hopkins statistic for clusterability assessment,"validation, computation, export, transformation, error_handling, data_prep"
hopkins_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/hopkins.R,app/logic/cluster,88,NA,"#' Error parser for Hopkins statistic errors
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Error parser for Hopkins statistic errors,"export, error_handling"
validate_hopkins_inputs,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/hopkins.R,app/logic/cluster,140,"function(data, measurement_cols)",NA,NA,undocumented
interpret_hopkins,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/hopkins.R,app/logic/cluster,176,function(h_value),NA,NA,undocumented
build_warnings,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/hopkins.R,app/logic/cluster,210,"function(n, n_dims, m)",NA,NA,undocumented
compute_optimal_clusters,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,33,NA,"#' Calculate optimal number of clusters using multiple methods
#'
#' Computes Elbow (WSS), Silhouette, and Gap statistic for
#' k = 2..max_k, then returns the median of the three optimal
#' values as the recommended number of clusters.
#'
#' Data should already be cleaned (NAs removed) and scaled
#' as needed by the caller.
#'
#' @param data Data frame with numeric measurement columns
#'   (already cleaned and scaled)
#' @param measurement_cols Character vector of column names
#' @param max_k Integer, maximum number of clusters to evaluate
#'   (default 10, clamped to nrow - 1)
#' @return List with $success, $result or $error.
#'   Result contains $methods, $summary, $plot_data.
#' @export",Calculate optimal number of clusters using multiple methods,"computation, plotting, export, transformation, error_handling, data_prep"
create_optimal_clusters_ggplot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,175,function(optimal_data),"#' Create the ggplot object for the optimal clusters plot
#'
#' Builds a faceted ggplot showing Elbow (WSS), Silhouette,
#' and Gap statistic across k values, with optimal k markers.
#' Reusable for both interactive display and static export.
#'
#' @param optimal_data Result list from compute_optimal_clusters
#' @return ggplot object
#' @export",Create the ggplot object for the optimal clusters plot,"computation, plotting, export, formatting"
optimal_clusters_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,362,NA,"#' Error parser for optimal clusters errors
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Error parser for optimal clusters errors,"export, error_handling"
validate_optimal_inputs,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,406,"function(data, measurement_cols)",NA,NA,undocumented
compute_wss,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,440,"function(data, k_range)",NA,NA,undocumented
compute_silhouette,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,455,"function(data, k_range)",NA,NA,undocumented
compute_gap,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,473,"function(data, max_k)",NA,NA,undocumented
detect_elbow_k,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,508,"function(k_range, values)",NA,NA,undocumented
build_plot_data,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/optimal_clusters.R,app/logic/cluster,526,NA,NA,NA,undocumented
get_measurement_cols,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/column_utils.R,app/logic/column_utils.R,24,function(data),"#' Get measurement columns from a data frame
#'
#' Measurement columns are identified by NOT matching the
#' uppercase-only pattern (uppercase letters, digits, underscores).
#' Typically mixed-case numeric columns like Asfc, epLsar, Sq.
#'
#' @param data A data frame
#' @return Character vector of measurement column names
#' @export",Get measurement columns from a data frame,export
get_descriptive_cols,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/column_utils.R,app/logic/column_utils.R,38,function(data),"#' Get descriptive columns from a data frame (strict)
#'
#' Descriptive columns follow the pattern: uppercase letters
#' and underscores only. No digits allowed in column names.
#'
#' @param data A data frame
#' @return Character vector of descriptive column names
#' @export",Get descriptive columns from a data frame (strict),export
validate_column_naming,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/column_utils.R,app/logic/column_utils.R,54,function(data),"#' Validate column naming conventions
#'
#' Classifies all columns and identifies ambiguous ones
#' (uppercase with digits) that don't fit strictly into
#' either descriptive or measurement.
#'
#' @param data A data frame
#' @return List with valid, descriptive_cols, measurement_cols,
#'   ambiguous_cols, and message
#' @export",Validate column naming conventions,"validation, export"
create_interaction,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/data_utils.R,app/logic/data_utils.R,10,"function(df, cols)","#' Create interaction term from multiple columns
#'
#' Combines multiple factor columns into a single interaction term.
#' Useful for grouping data by multiple categorical variables.
#'
#' @param df Data frame containing the columns
#' @param cols Character vector of column names to combine
#' @return Factor vector representing the interaction of all specified columns
#' @export",Create interaction term from multiple columns,export
get_filter_choices,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/data_utils.R,app/logic/data_utils.R,32,function(values),"#' Get unique choices for a filter column, with NA shown as ""NA""
#'
#' @param values Vector of column values
#' @return Character vector of unique values (NA replaced by ""NA"" string)
#' @export","Get unique choices for a filter column, with NA shown as ""NA""","export, filtering"
filter_data,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/data_utils.R,app/logic/data_utils.R,51,"function(data, filters)","#' Filter a data frame by selected values per column
#'
#' For each column in `filters`, keeps only rows whose value is in the
#' selected set. The special value ""NA"" in a selection matches actual
#' NA values in the data.
#'
#' @param data Data frame to filter
#' @param filters Named list where names are column names and values
#'   are character vectors of selected values (may include ""NA"")
#' @return Filtered data frame
#' @export",Filter a data frame by selected values per column,"export, filtering"
default_palette,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/data_utils.R,app/logic/data_utils.R,83,function(n),"#' Generate a default color palette for n groups
#'
#' Returns a character vector of hex colors. Uses scales::hue_pal()
#' for <= 8 groups, otherwise interpolates a fixed 8-color ramp.
#'
#' @param n Integer, number of colors needed
#' @return Character vector of hex color strings
#' @export",Generate a default color palette for n groups,"export, transformation"
is_app_error,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,17,function(obj),"#' Check if an object is a structured app error
#'
#' Uses ""is_error"" %in% names() to avoid warnings when checking data frames,
#' since data frames are lists and obj$is_error on a df triggers
#' ""Unknown column"" warning.
#'
#' @param obj Object to check
#' @return Logical, TRUE if obj is a structured error from create_app_error()
#' @export",Check if an object is a structured app error,"validation, export, error_handling"
create_app_error,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,42,NA,"#' Create a structured error object
#'
#' Returns a standardized error structure with user-friendly message,
#' raw error, a filtered stack trace, and context about the operation.
#'
#' Stack trace filtering:
#' - Captures output from shiny$printStackTrace()
#' - Filters to frames with file references [path#line] (app code only)
#' - Falls back to top 20 frames if no file refs found
#' - Converts ANSI colors to HTML via cli$ansi_html()
#'
#' @param user_msg Character, user-friendly error message
#' @param raw_msg Character, original error message from R
#' @param error_obj The error condition object (optional, for stack trace)
#' @param operation_name Character, name of the operation that failed
#' @param context List, optional context with parameters for debugging
#' @return List with is_error=TRUE and structured error information
#' @export",Create a structured error object,"export, transformation, filtering, error_handling, formatting"
safe_execute,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,116,NA,"#' Safe execution wrapper for any operation
#'
#' Wraps an expression in error handling, returning a standardized
#' result structure. Uses shiny$captureStackTraces to enable stack
#' trace capture on errors.
#'
#' @param expr Expression to evaluate
#' @param operation_name Character, name of the operation for error messages
#' @param context List, optional context with parameters for debugging
#' @param error_parser Function, optional custom function to parse error
#'   messages into user-friendly versions. Receives (error_msg, operation_name).
#' @return List with success (logical), result (or NULL), error (or NULL)
#' @export",Safe execution wrapper for any operation,"export, transformation, error_handling"
default_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,158,"function(error_msg, operation_name = ""Operation"")","#' Default error message parser for common R errors
#'
#' Translates common R error messages into user-friendly versions.
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Default error message parser for common R errors,"export, error_handling"
stat_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,184,"function(error_msg, operation_name = ""Test"")","#' Error parser for statistical tests
#'
#' Translates common statistical test error messages into user-friendly
#' versions. Parameter naming matches safe_execute() which passes
#' operation_name as second argument.
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Error parser for statistical tests,"computation, export, error_handling, statistical"
simple_error,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/error_handling.R,app/logic/error_handling.R,221,NA,"#' Create a simple error without stack trace
#'
#' For validation failures where there is no R error condition,
#' e.g. empty data, missing columns, invalid user input.
#'
#' @param message Character, the error message
#' @param operation_name Character, name of the operation
#' @param context List, optional context
#' @return Structured error object
#' @export",Create a simple error without stack trace,"export, error_handling"
display_name,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/example_data.R,app/logic/example_data.R,19,function(filename),"#' Pretty-print a filename as a display name
#' @param filename Character, e.g. ""iris.xlsx""
#' @return Character, e.g. ""Iris""
#' @keywords internal",Pretty-print a filename as a display name,formatting
list_examples,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/example_data.R,app/logic/example_data.R,27,function(),"#' List available example datasets
#' @return Named character vector (display name -> filename), or empty vector
#' @export",List available example datasets,"export, formatting"
example_path,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/example_data.R,app/logic/example_data.R,49,function(filename),"#' Resolve the full path of an example dataset
#' @param filename Character, the filename (e.g. ""iris.xlsx"")
#' @return Character, full path to the file
#' @export",Resolve the full path of an example dataset,export
load_example,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/example_data.R,app/logic/example_data.R,58,function(filename),"#' Load an example dataset
#' @param filename Character, the filename (e.g. ""iris.xlsx"")
#' @return List with `success`, `data`, `error` — same structure as
#'   load_data$read_data_file()
#' @export",Load an example dataset,"export, error_handling"
create_stratified_split,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/data_splitting.R,app/logic/lda,30,NA,"#' Create a stratified random train/test split
#'
#' Splits data so that each group in the grouping column
#' is represented proportionally in both train and test sets.
#' Uses base R sampling (no caret dependency).
#'
#' @param data Data frame to split
#' @param grouping_col Character, name of the grouping column
#' @param train_fraction Numeric in (0, 1), proportion for
#'   training set. Default 0.7 (70% train, 30% test).
#' @param seed Integer, random seed for reproducibility.
#'   NULL for no seed.
#' @return List with $success and $result containing
#'   $train_data, $test_data, $train_idx, $test_idx,
#'   $split_summary (data frame with per-group counts)
#' @export",Create a stratified random train/test split,"export, statistical"
evaluate_dimensions,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R,app/logic/lda,28,function(lda_result),"#' Evaluate discriminant dimensions via ANOVA
#'
#' Runs a one-way ANOVA (lm + anova) for each LD dimension
#' to assess how well the grouping variable explains variance
#' in that dimension. Returns F-statistic, p-value, and R².
#'
#' Works for LDA, MDA (using $scores), and QDA (using
#' $lda_scores from companion LDA).
#'
#' @param lda_result Result list from run_lda/run_qda/run_mda
#' @return List with $success, $result (data.frame) or $error.
#'   The data.frame has columns: Dimension, F, p.value, R2,
#'   Significance.
#' @export",Evaluate discriminant dimensions via ANOVA,"computation, export, error_handling, statistical"
get_scores,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R,app/logic/lda,109,function(lda_result),#' Extract LD scores from any analysis type,Extract LD scores from any analysis type,filtering
get_grouping,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R,app/logic/lda,120,function(lda_result),#' Extract grouping factor from result,Extract grouping factor from result,filtering
format_p,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R,app/logic/lda,144,function(p),#' Format p-value for display,Format p-value for display,"formatting, statistical"
format_sig,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R,app/logic/lda,153,function(p),#' Format significance stars,Format significance stars,"formatting, statistical"
create_ld_plot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,42,NA,"#' Create an interactive LD scores scatter plot
#'
#' Builds a ggplot with ggiraph interactive points showing
#' individuals projected onto linear discriminant axes.
#' Points are colored by the grouping variable.
#' Falls back to a 1D jittered strip plot when only one
#' LD axis exists (2 groups).
#'
#' @param lda_result Result list from run_lda() (must have
#'   $scores, $meta, $grouping_col, $proportion_of_trace)
#' @param dim_x Character, LD column for x-axis (e.g. ""LD1"")
#' @param dim_y Character, LD column for y-axis (e.g. ""LD2"").
#'   Ignored when only 1 LD axis exists.
#' @param show_diagnostics Logical, overlay assumption
#'   diagnostics (covariance ellipses + group means)
#' @param show_boundaries Logical, overlay decision
#'   boundary regions and contour lines (LDA only,
#'   requires a fitted model)
#' @return List with $success, $result (ggplot) or $error
#' @export",Create an interactive LD scores scatter plot,"computation, plotting, export, error_handling"
ld_plot_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,98,NA,#' @export,@export,export
create_qda_plot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,138,NA,"#' Create an interactive QDA scatter plot
#'
#' Plots QDA results in either LD space (via companion
#' LDA projection) or original variable space. Points
#' are coloured by true group labels; optional decision
#' boundary shading shows QDA-predicted regions.
#'
#' @param qda_result Result list from run_qda()
#' @param dim_x Character, column for x-axis
#' @param dim_y Character, column for y-axis
#' @param show_boundaries Logical, overlay QDA decision
#'   boundary regions
#' @return List with $success, $result (ggplot) or $error
#' @export",Create an interactive QDA scatter plot,"computation, plotting, export, error_handling"
build_2d_plot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,184,NA,NA,NA,undocumented
build_1d_plot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,287,NA,NA,NA,undocumented
build_qda_2d_plot,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,369,NA,NA,NA,undocumented
get_group_values,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,465,"function(meta, grouping_col)",#' @export,@export,export
build_tooltips,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,479,NA,#' @export,@export,export
axis_label,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,542,"function(dim_name, proportion_of_trace)",#' @export,@export,export
ld_theme,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R,app/logic/lda,559,function(),#' @export,@export,export
validate_inputs,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/lda.R,app/logic/lda,27,"function(columns, data, grouping_col)","#' Validate inputs before LDA/QDA computation
#'
#' Checks that measurement columns exist, a grouping column is
#' selected, and the grouping column has at least 2 levels.
#' Warns (but does not fail) if any group has fewer observations
#' than variables (n < p).
#'
#' @param columns Character vector of selected measurement column names
#' @param data Data frame to validate against
#' @param grouping_col Character, name of the grouping column
#' @return List with $valid (logical), $error (app_error or NULL),
#'   and $warnings (character vector, may be empty)
#' @export",Validate inputs before LDA/QDA computation,"validation, export, filtering, error_handling"
run_lda,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/lda.R,app/logic/lda,161,NA,"#' Run Linear Discriminant Analysis
#'
#' Calls MASS::lda() on the supplied data. Supports both
#' standard model fitting and leave-one-out CV.
#'
#' @param data Data frame (cleaned, optionally scaled)
#' @param columns Character vector of measurement column names
#' @param grouping_col Character, name of the grouping column
#' @param prior Character, ""proportional"" or ""equal""
#' @param tol Numeric, tolerance for singularity detection
#' @param method Character, estimation method
#' @param cv Logical, leave-one-out cross-validation
#' @param nu Numeric, degrees of freedom for method = ""t""
#' @param meta_cols Character vector of metadata column names
#' @return List with $success, $result or $error
#' @export",Run Linear Discriminant Analysis,"computation, export, transformation, error_handling, data_prep"
run_qda,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/lda.R,app/logic/lda,217,NA,"#' Run Quadratic Discriminant Analysis
#'
#' Calls MASS::qda() on the supplied data. Supports both
#' standard model fitting and leave-one-out CV.
#'
#' @param data Data frame (cleaned, optionally scaled)
#' @param columns Character vector of measurement column names
#' @param grouping_col Character, name of the grouping column
#' @param prior Character, ""proportional"" or ""equal""
#' @param tol Numeric, tolerance for singularity detection
#' @param method Character, estimation method
#' @param cv Logical, leave-one-out cross-validation
#' @param nu Numeric, degrees of freedom for method = ""t""
#' @param meta_cols Character vector of metadata column names
#' @return List with $success, $result or $error
#' @export",Run Quadratic Discriminant Analysis,"computation, export, transformation, error_handling, data_prep"
